liquidity_rank,stock_id,stock_name,industry_category,type,close,volume,volume_thousand_shares,amount,amount_million,transaction,as_of_date
406,6715,嘉基,電子工業,twse,436.0,311079,311.08,137109554,137.11,636,2026-05-30
407,2845,遠東銀,金融保險,twse,11.85,11510053,11510.05,136997548,137.0,2941,2026-05-30
408,1587,吉茂,汽車工業,twse,32.0,4398331,4398.33,136563831,136.56,2634,2026-05-30
409,4961,天鈺,電子工業,twse,172.5,798614,798.61,136346643,136.35,1030,2026-05-30
410,6757,台灣虎航,創新版股票,twse,56.7,2395030,2395.03,134657770,134.66,3126,2026-05-30
411,6695,芯鼎,電子工業,twse,58.2,2327104,2327.1,133985806,133.99,1856,2026-05-30
412,5522,遠雄,建材營造,twse,72.7,1807328,1807.33,130808327,130.81,835,2026-05-30
413,9921,巨大,其他,twse,69.3,1867357,1867.36,128855072,128.86,1821,2026-05-30
414,1314,中石化,塑膠工業,twse,7.04,18071555,18071.56,127518913,127.52,3736,2026-05-30
415,6491,晶碩,生技醫療業,twse,321.5,388140,388.14,125077953,125.08,569,2026-05-30
416,4551,智伸科,汽車工業,twse,155.5,780091,780.09,122945912,122.95,926,2026-05-30
417,2504,國產,建材營造,twse,34.6,3489052,3489.05,121749414,121.75,2178,2026-05-30
418,2501,國建,建材營造,twse,22.65,5382351,5382.35,121016574,121.02,1674,2026-05-30
419,4956,光鋐,光電業,twse,45.4,2586796,2586.8,117955134,117.96,1863,2026-05-30
420,3032,偉訓,電子工業,twse,90.5,1292771,1292.77,116799279,116.8,1147,2026-05-30
421,4968,立積,半導體業,twse,116.0,990513,990.51,115680116,115.68,1021,2026-05-30
422,2204,中華,汽車工業,twse,53.8,2122191,2122.19,113917236,113.92,1415,2026-05-30
423,9941,裕融,其他,twse,73.1,1541071,1541.07,112716200,112.72,1579,2026-05-30
424,1722,台肥,化學工業,twse,46.6,2427793,2427.79,112694010,112.69,1475,2026-05-30
425,6550,北極星藥業-KY,化學生技醫療,twse,13.5,8254253,8254.25,112576789,112.58,1775,2026-05-30
426,3025,星通,通信網路業,twse,74.5,1495762,1495.76,111953954,111.95,4395,2026-05-30
427,2349,錸德,光電業,twse,14.0,7983080,7983.08,111770132,111.77,2494,2026-05-30
428,6533,晶心科,半導體業,twse,219.0,508665,508.66,111732615,111.73,1223,2026-05-30
429,1736,喬山,生技醫療業,twse,119.5,939255,939.26,109385894,109.39,662,2026-05-30
430,3708,上緯投控,化學生技醫療,twse,124.5,873664,873.66,108943955,108.94,853,2026-05-30
431,2515,中工,建材營造,twse,13.0,8422798,8422.8,107948437,107.95,1833,2026-05-30
432,3031,佰鴻,光電業,twse,32.4,3306478,3306.48,107796774,107.8,2264,2026-05-30
433,2072,世紀風電,綠能環保,twse,170.5,619939,619.94,105506581,105.51,668,2026-05-30
434,3416,融程電,電子工業,twse,183.5,567218,567.22,103808005,103.81,665,2026-05-30
435,4562,穎漢,電機機械,twse,41.45,2366870,2366.87,100352990,100.35,1795,2026-05-30
437,2457,飛宏,電子零組件業,twse,26.0,3856330,3856.33,99060848,99.06,1974,2026-05-30
438,5258,虹堡,電子工業,twse,50.0,1960853,1960.85,98901104,98.9,1491,2026-05-30
439,6449,鈺邦,電子零組件業,twse,395.0,253211,253.21,98410488,98.41,554,2026-05-30
440,1304,台聚,塑膠工業,twse,12.2,8082058,8082.06,98057946,98.06,2401,2026-05-30
441,1623,大東電,電器電纜,twse,243.5,403144,403.14,97649621,97.65,2558,2026-05-30
442,3051,力特,電子工業,twse,27.9,3460420,3460.42,96447549,96.45,2020,2026-05-30
443,1708,東鹼,化學生技醫療,twse,38.2,2553741,2553.74,96312404,96.31,1722,2026-05-30
444,2201,裕隆,汽車工業,twse,27.45,3495015,3495.02,95920008,95.92,1823,2026-05-30
445,2539,櫻花建,建材營造,twse,36.6,2644964,2644.96,93841888,93.84,1492,2026-05-30
446,4555,氣立,電機機械,twse,58.1,1553169,1553.17,91397132,91.4,1367,2026-05-30
447,2417,圓剛,電子工業,twse,49.0,1860556,1860.56,91258643,91.26,1202,2026-05-30
448,6168,宏齊,電子工業,twse,27.9,3274803,3274.8,91050274,91.05,2028,2026-05-30
449,1528,恩德,電機機械,twse,24.9,3641214,3641.21,90897176,90.9,2002,2026-05-30
450,2497,怡利電,汽車工業,twse,59.7,1479318,1479.32,89495680,89.5,1303,2026-05-30
451,2231,為升,汽車工業,twse,106.0,829872,829.87,89201851,89.2,865,2026-05-30
452,3022,威強電,電腦及週邊設備業,twse,74.8,1152615,1152.62,86287447,86.29,975,2026-05-30
453,6890,來億-KY,運動休閒,twse,167.5,509764,509.76,86118995,86.12,554,2026-05-30
454,8162,微矽電子-創,創新版股票,twse,73.5,1161366,1161.37,85604618,85.6,1235,2026-05-30
455,5534,長虹,建材營造,twse,74.1,1148559,1148.56,85330900,85.33,1166,2026-05-30
456,3060,銘異,電子工業,twse,29.4,2896370,2896.37,85206622,85.21,1879,2026-05-30
457,3701,大眾控,電子工業,twse,53.8,1574559,1574.56,85057803,85.06,1250,2026-05-30
458,2867,三商壽,金融保險,twse,7.52,11342143,11342.14,85051456,85.05,2321,2026-05-30
459,8249,菱光,電子工業,twse,55.8,1503850,1503.85,84414104,84.41,1150,2026-05-30
460,3617,碩天,其他電子業,twse,211.5,392867,392.87,83232843,83.23,472,2026-05-30
461,2009,第一銅,鋼鐵工業,twse,39.4,2058853,2058.85,81543096,81.54,1366,2026-05-30
462,6854,錼創科技-KY創,創新版股票,twse,151.5,518681,518.68,79022958,79.02,924,2026-05-30
463,6933,AMAX-KY,電子工業,twse,172.5,466925,466.92,78703502,78.7,493,2026-05-30
464,6177,達麗,建材營造,twse,42.4,1855662,1855.66,77997009,78.0,1344,2026-05-30
465,3504,揚明光,光電業,twse,77.8,996803,996.8,77634380,77.63,970,2026-05-30
466,7799,禾榮科,化學生技醫療,twse,318.0,242409,242.41,77575370,77.58,701,2026-05-30
467,1721,三晃,化學工業,twse,28.25,2729624,2729.62,77215818,77.22,2006,2026-05-30
468,2540,愛山林,建材營造,twse,55.0,1416663,1416.66,77098727,77.1,802,2026-05-30
469,2480,敦陽科,資訊服務業,twse,148.5,519588,519.59,77044242,77.04,528,2026-05-30
470,4720,德淵,化學生技醫療,twse,25.25,3009929,3009.93,76290238,76.29,1814,2026-05-30
471,3049,精金,電子工業,twse,12.5,6122628,6122.63,75932882,75.93,2233,2026-05-30
472,4755,三福化,化學工業,twse,149.0,503301,503.3,75531287,75.53,631,2026-05-30
473,4746,台耀,化學生技醫療,twse,52.2,1449359,1449.36,75374541,75.37,1131,2026-05-30
474,5484,慧友,光電業,twse,48.75,1526083,1526.08,75082145,75.08,1163,2026-05-30
475,2211,長榮鋼,鋼鐵工業,twse,93.2,806736,806.74,74529619,74.53,655,2026-05-30
476,1618,合機,電器電纜,twse,42.2,1754053,1754.05,74323950,74.32,1118,2026-05-30
477,3004,豐達科,鋼鐵工業,twse,123.5,606384,606.38,74113558,74.11,688,2026-05-30
478,1339,昭輝,汽車工業,twse,45.6,1599566,1599.57,73997008,74.0,1305,2026-05-30
479,1256,鮮活果汁-KY,食品工業,twse,205.5,356741,356.74,73596488,73.6,2479,2026-05-30
480,1612,宏泰,電器電纜,twse,37.25,1966246,1966.25,73576927,73.58,1115,2026-05-30
481,3029,零壹,資訊服務業,twse,96.2,760093,760.09,72865010,72.87,849,2026-05-30
482,6994,富威電力,綠能環保,twse,64.8,1131076,1131.08,72302579,72.3,916,2026-05-30
483,1810,和成,玻璃陶瓷,twse,19.5,3605845,3605.84,71122740,71.12,1703,2026-05-30
484,6591,動力-KY,電子工業,twse,57.2,1232174,1232.17,70546981,70.55,1052,2026-05-30
485,3015,全漢,電子工業,twse,50.2,1386150,1386.15,70509028,70.51,806,2026-05-30
486,6120,達運,光電業,twse,14.35,4929934,4929.93,70292761,70.29,1738,2026-05-30
487,2453,凌群,資訊服務業,twse,61.0,1153378,1153.38,69931713,69.93,990,2026-05-30
488,2101,南港,橡膠工業,twse,30.05,2324060,2324.06,69776100,69.78,1363,2026-05-30
489,2851,中再保,金融保險,twse,35.1,1979052,1979.05,69426464,69.43,1093,2026-05-30
490,6117,迎廣,電子工業,twse,84.0,827113,827.11,69177415,69.18,747,2026-05-30
491,3311,閎暉,通信網路業,twse,35.8,1902327,1902.33,68472020,68.47,1663,2026-05-30
492,3003,健和興,電子工業,twse,62.7,1079103,1079.1,67601129,67.6,2028,2026-05-30
493,6869,雲豹能源,創新板股票,twse,86.0,799707,799.71,67594854,67.59,678,2026-05-30
494,6205,詮欣,電子工業,twse,78.0,857091,857.09,67014060,67.01,806,2026-05-30
495,1808,潤隆,建材營造,twse,29.5,2274490,2274.49,66314114,66.31,948,2026-05-30
496,2243,宏旭-KY,汽車工業,twse,27.3,2447888,2447.89,65942725,65.94,1800,2026-05-30
497,4536,拓凱,其他,twse,160.5,405594,405.59,65177060,65.18,398,2026-05-30
498,2630,亞航,航運業,twse,42.75,1498105,1498.1,64531037,64.53,1045,2026-05-30
499,3356,奇偶,光電業,twse,62.3,1033802,1033.8,64436493,64.44,845,2026-05-30
500,6834,天二科技,電子工業,twse,75.2,862197,862.2,63636347,63.64,704,2026-05-30
